time,magX,magY,magZ,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature,pressure,altitude,accMag,qw,qx,qy,qz,initialAltAchieved,landingDetected
5.25, -0.03, -0.18, 0.50, -0.54, -0.47, -10.07, -0.02, 0.06, 0.01, 30.50, 100.11, 101.48, 10.09, 0.02, -0.01, 0.78, 0.63, 1, 0
5.27, -0.03, -0.19, 0.50, -0.63, -0.88, -9.98, -0.00, 0.05, -0.02, 30.50, 100.12, 101.15, 10.04, 0.02, -0.01, 0.78, 0.63, 1, 0
5.29, -0.03, -0.19, 0.50, -0.63, -0.88, -9.98, -0.00, 0.05, -0.02, 30.50, 100.12, 101.15, 10.04, 0.02, -0.01, 0.78, 0.63, 1, 0
5.31, -0.03, -0.18, 0.50, -0.77, -1.12, -10.05, 0.04, 0.03, -0.04, 30.50, 100.11, 102.07, 10.14, 0.02, -0.00, 0.77, 0.63, 1, 0
5.33, -0.03, -0.18, 0.50, -0.77, -1.12, -10.05, 0.04, 0.03, -0.04, 30.50, 100.11, 102.07, 10.14, 0.02, -0.00, 0.77, 0.63, 1, 0
5.35, -0.03, -0.18, 0.50, -0.96, -0.52, -10.08, 0.06, 0.01, -0.01, 30.50, 100.11, 102.07, 10.14, 0.03, -0.00, 0.77, 0.63, 1, 0
5.37, -0.03, -0.18, 0.50, -0.96, -0.52, -10.08, 0.06, 0.01, -0.01, 30.50, 100.11, 102.07, 10.14, 0.03, -0.00, 0.77, 0.63, 1, 0
5.39, -0.03, -0.18, 0.50, -1.15, -0.29, -10.00, 0.04, -0.01, -0.00, 30.50, 100.12, 101.15, 10.07, 0.03, -0.00, 0.78, 0.63, 1, 0
5.41, -0.03, -0.18, 0.50, -1.15, -0.29, -10.00, 0.04, -0.01, -0.00, 30.50, 100.12, 101.15, 10.07, 0.03, -0.00, 0.78, 0.63, 1, 0
5.43, -0.03, -0.18, 0.50, -0.88, 0.12, -10.09, 0.00, -0.05, -0.05, 30.50, 100.11, 102.07, 10.12, 0.03, -0.01, 0.78, 0.63, 1, 0
